1;area before 49714	area after 10369
2;area before 222950	area after 64676
3;area before 46523	area after 20471
4;area before 40770	area after 27169
5;area before 17232.5	area after 31717.5
6;area before -2394	area after 19803
7;area before 63985	area after 34689
8;area before 51303	area after 32726
9;area before 48470	area after 28013
10;area before -66052.5	area after 30426.5
12;area before 587474	area after 563287
14;area before -14209	area after 4570.5
15;area before 101447	area after 4897
15;area before 33610	area after 68.5
16;area before 83477	area after 5176.5
18;area before -116532	area after 21257
19;area before 116754	area after 18653.5
21;area before -81272	area after 184270
21;area before 315603	area after 25
22;area before 0	area after 18
23;area before 116481	area after 7271
25;area before 0	area after 3
26;area before 56995	area after 25361
26;area before 101024	area after 25.5
28;area before 705388	area after 32992.5
29;area before 136967	area after 23895
31;area before -139162	area after 21083
32;area before 163349	area after 10930
32;area before 1.09135e+06	area after 68.5
33;area before -412378	area after 43180.5
34;area before 310926	area after 18506
35;area before 209474	area after 21508.5
36;area before 274954	area after 10183.5
36;area before 0	area after 4
37;area before 182606	area after 6320
38;area before -795005	area after 21678.5
39;area before -59986	area after 12258
40;area before -548510	area after 21260.5
41;area before 457256	area after 10987.5
42;area before 43799.5	area after 16768
